"","datetime","country","shape","city"
"593",NA,"us","cylinder","francesville"
"594",NA,NA,"circle","morden&#44 surrey (uk/england)"
"595",NA,"us","disk","lomita"
"596",NA,"us","rectangle","columbia"
"597",NA,"us","light","buffalo"
"598",NA,"us","disk","olympia"
"599",NA,"us","disk","pittsburgh"
"600",NA,"us","light","cranbury"
"601",NA,"us","other","fremont"
"602",NA,"us","fireball","mountainboro"
"603",NA,"us","formation","shirleysburg"
"604",NA,"us","cigar","jersey city"
"605",NA,"us","disk","homer"
"606",NA,"us","oval","hesperia"
"607",NA,NA,"disk","mt. sterling"
"608",NA,NA,"unknown","texas city/galveston"
"609",NA,"us","fireball","swartz creek"
"610",NA,"gb","sphere","birmingham (uk/england)"
"611",NA,"us","unknown","ayer"
"612",NA,NA,"oval","elizabeth township"
"613",NA,"us","disk","tarboro"
"614",NA,"us","light","waldport"
"615",NA,"us","light","chatsworth"
"616",NA,"us","triangle","acton"
"617",NA,"us","triangle","brandon"
"618",NA,"us","light","holton"
"619",NA,"us","sphere","monroe"
"620",NA,"us","triangle","jefferson"
"621",NA,NA,"other","santa margarita/atascadero (between&#44 hwy 101)"
"622",NA,"us","sphere","lawrence"
"623",NA,"us","circle","klamath falls"
"624",NA,NA,"triangle","n. ridgeville"
"625",NA,"us","light","wheeling"
"626",NA,"us",NA,"west palm beach"
"627",NA,"ca","sphere","victoria (canada)"
"628",NA,"us","oval","roseburg (7 miles northwest of)"
"629",NA,"us","fireball","alstead"
"630",NA,"us","triangle","louisburg"
"631",NA,"us",NA,"wappingers falls"
"632",NA,"us","disk","mackay"
"633",NA,NA,"circle","ft. walton beach"
"634",NA,"us","oval","winchester (near)"
"635",NA,"us","circle","jacksonville"
"636",NA,"us","oval","pawling"
"637",NA,"us","rectangle","carmichael"
"638",NA,"us","disk","orono"
"639",NA,"us","oval","pateros"
"640",NA,"us","light","san pedro"
"641",NA,"us","light","jamestown"
"642",NA,"us","other","easley"
"643",NA,"us","circle","wilmington"
"644",NA,"us","cigar","maryville"
"645",NA,"us","triangle","little rock"
"646",NA,NA,"unknown","fort lee"
"647",NA,"us","disk","mckenzie"
"648",NA,"us","cigar","las vegas"
"649",NA,"us","other","lafayette"
"650",NA,NA,"sphere","echo summit (sierra at tahoe ski area)"
"651",NA,"us","triangle","dublin (near warner robins)"
"652",NA,"us","egg","springfield"
"653",NA,"us","unknown","longview"
"654",NA,NA,"cross","henderson/oxford"
"655",NA,"us","triangle","tempe"
"656",NA,"us","light","delaware"
"657",NA,"us","light","pryor"
"658",NA,"us","triangle","pawnee"
"659",NA,"us","disk","new york city"
"660",NA,NA,"changing","tylertown/mccomb (between; on hwy. 98 )"
"661",NA,"us","changing","chicopee"
"662",NA,"us","triangle","santa barbara"
"663",NA,"us","cigar","warsaw"
"664",NA,"us","circle","las vegas"
"665",NA,"us","disk","fredericksburg"
"666",NA,"us",NA,"iowa city"
"667",NA,"us",NA,"lake oswego"
"668",NA,"us",NA,"lake oswego"
"669",NA,"us","disk","ashland"
"670",NA,"us","rectangle","williamsburg"
"671",NA,"gb","light","taunton (near) (uk/england)"
"672",NA,NA,"light","uk/england"
"673",NA,"us",NA,"vacaville"
"674",NA,"us","other","tinley park"
"675",NA,"us","triangle","wantagh"
"676",NA,"us",NA,"austin"
"677",NA,"us",NA,"piedmont"
"678",NA,"us","triangle","dover"
"679",NA,NA,"sphere","lake berryessa"
"680",NA,"us","formation","west houston (greenridge @ westiemer rd.; near galleria)"
"681",NA,"us","triangle","bainbridge"
"682",NA,"us","oval","new york city (manhattan)"
"683",NA,"us","sphere","cupertino"
"684",NA,"us","sphere","safford"
"685",NA,"us","fireball","the woodlands"
"686",NA,"us","triangle","bemidji"
"687",NA,NA,"other","fort jennings"
"688",NA,"us","rectangle","garland"
"689",NA,"us","other","jefferson"
"690",NA,NA,"rectangle","oregon (rural)"
"691",NA,"us","cigar","charlotte"
"692",NA,"us","light","green bay"
"693",NA,"us","triangle","pelzer"
"694",NA,"us","triangle","hyannis"
"695",NA,"us","triangle","bourbonnais"
"696",NA,"us","light","oakland"
"697",NA,"us","other","martinsville"
"698",NA,"us","triangle","summerville"
"699",NA,"us","light","lakeland"
"700",NA,"us","triangle","logan"
"701",NA,"us","light","portland"
"702",NA,"us","fireball","st. paul"
"703",NA,"us","disk","nisqually"
"704",NA,"us","fireball","rio rancho"
"705",NA,"us","light","bayfield"
"706",NA,"us","disk","chicora"
"707",NA,"us","sphere","san francisco"
"708",NA,"us","disk","elgin"
"709",NA,"us","fireball","del mar"
"710",NA,"us","fireball","la jolla (over)"
"711",NA,"us","oval","manchester"
"712",NA,"us","triangle","clarinda"
"713",NA,NA,"triangle","wadley (5 hrs from san luis opsipo) (mexico)"
"714",NA,"gb","fireball","warrington (uk/england)"
"715",NA,NA,"formation","mt sterling"
"716",NA,"us","triangle","ipava"
"717",NA,"us","triangle","moundsville"
"718",NA,"us","other","mosinee"
"719",NA,"us","fireball","san antonio"
"720",NA,"us","light","oak brook"
"721",NA,"us","light","portland"
"722",NA,"us","triangle","elyria"
